@id	network	ref	direction	name	route
186704	US:I			I A2 (unsigned)	road
186705	US:I			I A1 (unsigned)	road
326212	US:AK	1		Alaska Route 1	road
326213	US:I			I A3 (unsigned)	road
326897				Alaska Highway	road
331100	US:I			I A4 (unsigned)	road
331539	US:AK	2		Alaska Route 2	road
450825	US:AK	6			road
535397	US:AK	7		Alaska Route 7	road
535488	US:AK	10			road
536718	US:AK	9			road
552894	rcn	Glenn		Glenn Highway Trail	bicycle
552920	lcn	Coastal		Tony Knowles Coastal Trail	bicycle
1140614				American Subdivision	railway
1225005	iwn			Chilkoot Trail	hiking
1320642	US:NHS High Priority Corridors			NHS High Priority Corridor 24	road
1324393	US:AK	5		Taylor Highway.	road
1324394	US:AK	11		Dalton Highway	road
1324395	US:AK	98			road
1324396	US:AK	4			road
1324397	US:AK	8			road
1324401	US:NHS High Priority Corridors			NHS High Priority Corridor 67	road
1659995	lcn			Happy Valley Trail	bicycle
1770863	ncn	397			bicycle
1770864	ncn	987			bicycle
1770866	ncn	87		87 (Alaska)	bicycle
1770867	ncn	95		95 (Alaska)	bicycle
1770868	ncn	97		97 (Alaska)	bicycle
2168759				Red Line (MACS)	bus
2805398		Green Line		Green Line	bus
2819903		Blue Line		Blue Line	bus
3375424	UAF Shuttle			Nenana Route	bus
3568086				Swan Lake Canoe Trail	canoe
3624822				Trans Alaska Pipeline	pipeline
4128298	The Ride	Green		Green Line	bus
4129028				Totem Park Trail	foot
4129029	lhn			Harbor Mountain / Gavan Hill Trail	hiking
4131797				Indian River Trail	hiking
4131798				Cross Trail	hiking
4141941				Path of Hope	hiking
4143874				Mount Verstovia Trail	hiking
5384759	CA:YT	1		Alaska Highway	road
5386035	CA:YT	9		Top of the World Highway	road
6250719				Denali Park Road	road
6701063				Winner Creek Trail	hiking
6721256				Girdwood 5K Nordic Ski Loop	piste
6723167					bus
6723172				Upper Winner Creek Trail	hiking
6824340	ARR	HT		Hurricane Turn: Talkeetna → Hurricane	train
6824341	ARR	GD		Glacier Discovery: Anchorage → Whittier → Grandview	train
6824342	ARR	DS		Denali Star: Anchorage → Fairbanks	train
6824343	ARR	CC		Coastal Classic: Anchorage → Seward	train
6824344				Mountain Subdivision	railway
6824366	ARR	AW		Aurora Winter: Anchorage → Fairbanks	train
6835924				Eielson Branch	railway
6835936				Whittier Branch	railway
6836178				Fairbanks International Airport Branch	railway
6836179				Palmer Branch	railway
6836180				Anchorage International Airport Branch	railway
6836181				JBER Spur	railway
6837869					railway
6837995				JBER Spur (abandoned)	railway
6838074				Northern Rail Extension Project	railway
6838075				Port Mackenzie Rail Extension Project	railway
6858242				Fort Wainright Spurs	railway
6876460				The White Pass Route	train
6878805				Crooked Creek & Whiskey Island Railroad	railway
7208153	rcn			Iditarod National Historic Trail	hiking
7636966	US:AK	3	north	George Parks Highway (northbound)	road
7636967	US:AK	3	south	George Parks Highway (southbound)	road
8448482				Middle Dangerous Trail	hiking
9662114				Campbell Creek Estuary Trails	hiking
9677556				Nome-Taylor Highway	road
10404854				Copper River and Northwestern Railway	railway
10662355					evacuation
10662356					evacuation
10662357					evacuation
10662358					evacuation
10662359					evacuation
10662360					evacuation
10662361					evacuation
10662362					evacuation
10662363					evacuation
10662364					evacuation
11260005	lwn	54789		Staney Creek Cabin Trail	foot
11870880				Canadian Subdivision	railway
12309878	lwn			Ermine Hill Trail	hiking
12309879	lwn			Little Coal Creek Trail	hiking
