@id	network	ref	direction	name	route
23167	US:MS	12			road
111060	US:I	22			road
132290	US:I	65	north		road
214808				Montevallo Saturday Ride	bicycle
239393				VES Morning 00-05	bus
299282	US:GA	53			road
319705	US:US	278			road
326341	rcn			Silver Comet Trail	bicycle
326630	rcn			Chief Ladiga Trail	bicycle
370732	US:MS	76	east		road
371156	US:US	98			road
382496	US:US	90			road
382641	US:FL	97			road
382643	US:FL	87			road
382655	US:FL	83			road
382668	US:FL	85			road
386259	US:FL	71			road
386261	US:FL	77			road
386262	US:FL	79			road
419146	lcn	69		Bike Route 69	bicycle
448264	lcn	60		Bike Route 60 west	bicycle
449445	US:US:Alternate	72			road
541874	lcn	55		Bike Route 55 south	bicycle
541896	lcn	59		Bike Route 59	bicycle
541897	lcn	45		Bike Route 45	bicycle
541899	lcn	64		Bike Route 64 east	bicycle
572492	lcn			Aldridge Creek Greenway	bicycle
574585	lcn	70		Bike Route 70	bicycle
574586	lcn	74		Bike Route 74	bicycle
574588	lcn	41		Bike Route 41 south	bicycle
574589	lcn	50		Bike Route 50	bicycle
574593	lcn	31		Bike Route 31 south	bicycle
574633	lcn	40		Bike Route 40	bicycle
574661	lcn	54		Bike Route 54	bicycle
576356	lcn			Indian Creek Greenway	bicycle
903819	lcn	30		Bike Route 30 (proposed)	bicycle
1024905	US:I	10	west		road
1024907	US:I	10	west		road
1070141	Huntsville Shuttle Bus	10		Bus 10	bus
1168563					bicycle
1179342	lcn	49		Bike Route 49	bicycle
1179347	lcn	51		Bike Route 51 north/east	bicycle
1179384	lcn	74		Bike Route 74 (proposed)	bicycle
1179386	lcn	76		Bike Route 76	bicycle
1179388	lcn	75		Bike Route 75 (proposed)	bicycle
1179389	lcn	52		Bike Route 52	bicycle
1179405	lcn	71		Bike Route 71 (proposed) - North/South	bicycle
1179527	lcn	53		Bike Route 53	bicycle
1179528	lcn	22		Bike Route 22	bicycle
1187190	lcn	73		Bike Route 73 (proposed)	bicycle
1201527	US:I	20	west		road
1201528	US:I	20	west		road
1240960	lcn	73A		Bike Route 73A (proposed) - East/West	bicycle
1250017	US:I	459			road
1281450	US:US	29			road
1281515	US:US	231			road
1283526	US:US	331			road
1283527	US:US	331			road
1296146	US:I	59			road
1304595					bicycle
1309001	US:GA	5			road
1310510	US:GA	14			road
1311146	US:GA	20			road
1311148	US:GA	22			road
1319476	US:NHS High Priority Corridors			NHS High Priority Corridor 7	road
1319492	US:NHS High Priority Corridors	US 78	east	NHS High Priority Corridor 45	road
1319495	US:NHS High Priority Corridors			NHS High Priority Corridor 6	road
1441410				AGS North District	railway
1441565				AGS South District	railway
1441644				Memphis District West End	railway
1441646				Memphis District East End	railway
1441679				NA/West End District	railway
1523549	US:NPS:Natchez_Trace			Natchez Trace Parkway (Mississippi)	road
1525574	US:MS	14			road
1526092	US:MS	19			road
1526094	US:MS	18			road
1526987	US:MS	42			road
1527055	US:MS	50			road
