@id	network	ref	direction	name	route
23147	US:US	64			road
23148	US:US	70			road
62134	US:MO	37			road
69950	US:MO	59			road
70401	US:MO	43			road
139340	US:I	40	west		road
198113	US:I	630			road
198162	US:I	430			road
403156	US:I	40	west		road
411978	US:TX:Loop	151		Texas State Highway Loop 151	road
444953	US:US	278			road
446120	US:MO	101			road
448257	US:US	49			road
448274	US:MO	125			road
448804	US:US	61			road
450774	US:US	425			road
452577	US:US	165			road
452621	US:US	167			road
452676	US:US	371			road
1319490	US:NHS High Priority Corridors			NHS High Priority Corridor 8	road
1322931	US:NHS High Priority Corridors			NHS High Priority Corridor 39	road
1323040	US:NHS High Priority Corridors			NHS High Priority Corridor 55	road
1323043	US:NHS High Priority Corridors			NHS High Priority Corridor 52	road
1388617	US:AR	59			road
1394448	US:AR	43			road
1457803				Heavener Subdivision	railway
1457805				Fort Smith Branch	railway
1457807				Shreveport Subdivision	railway
1536260	US:AR	22			road
1536947	US:AR	378			road
1536959	US:AR	96			road
1537017	US:AR	255			road
1537233	US:AR	45			road
1537257	US:AR	303			road
1537469	US:AR	252			road
1537473	US:AR	253			road
1538129	US:AR	10S			road
1538209	US:AR	10			road
1538449	US:AR	217			road
1538455	US:AR	60			road
1538473	US:AR	348			road
1538513	US:AR	162			road
1538516	US:AR	215			road
1538518	US:AR	220			road
1538522	US:AR	400			road
1538526	US:AR	282			road
1538527	US:AR	282S			road
1578251	US:AR	112			road
1628551	US:US	271			road
1629635	US:US	79			road
1629641	US:US	70		US 70 (AR)	road
1629650	US:US	79			road
1629672	US:US	59			road
1629675	US:US	79		US 79 (AR)	road
1629681	US:US	82			road
1630663	US:US	65			road
1669658	US:AR	1			road
1672308	US:AR	309			road
1686321	US:I	440			road
1695586	US:I	530			road
1713162	US:AR	11			road
1713163	US:AR	13			road
1713164	US:AR	130			road
1713165	US:AR	130S			road
1713166	US:AR	144			road
1713167	US:AR	146			road
1713168	US:AR	146S			road
1713169	US:AR	152			road
1713170	US:AR	153			road
1713171	US:AR	169			road
1713172	US:AR	17			road
1713173	US:AR	1B			road
1713174	US:AR	1S			road
1713175	US:AR	276			road
1713176	US:AR	276S			road
1713177	US:AR	33			road
1713178	US:AR	33S			road
1713179	US:AR	343			road
1713180	US:AR	44			road
1713221	US:AR	133			road
1713222	US:AR	133S			road
1713223	US:AR	133T			road
1713224	US:AR	14			road
1713225	US:AR	160			road
1713226	US:AR	173			road
1713227	US:AR	189			road
1713228	US:AR	209			road
1713229	US:AR	263			road
1713230	US:AR	52			road
1713231	US:AR	8			road
1713257	US:AR	101			road
1713258	US:AR	126			road
1713259	US:AR	177			road
1713260	US:AR	178			road
1713261	US:AR	201			road
1713262	US:AR	201S			road
1713263	US:AR	202			road
1713264	US:AR	341			road
1713265	US:AR	342			road
1713266	US:AR	345			road
1713267	US:AR	5			road
