@id	name	route	network
149176		road	US:I
149178		road	US:I
168470		road	US:I
168471		road	US:I
168841		road	US:I
168842		road	US:I
271767		road	US:US
297142	Amtrak Sunset Limited: New Orleans => Los Angeles	train	Amtrak
337352		road	US:I
904839	Amtrak Southwest Chief: Los Angeles => Chicago	train	Amtrak
1023471	Mountain Avenue	bicycle	lcn
1023472	Rillito River Path	bicycle	lcn
1023510	Bear Down Bikeway	bicycle	lcn
1023511	Highland	bicycle	lcn
1023555	University	bicycle	lcn
1023567	4th Avenue Bicycle Boulevard	bicycle	lcn
1023596	3rd St Bicycle Boulevard	bicycle	lcn
1023625	Treat	bicycle	lcn
1023652	Tucson	bicycle	lcn
1023653	Columbus Boulevard	bicycle	lcn
1320650		road	US:NHS High Priority Corridors
1453756	Seligman Subdivision	railway	
1453757	Gallup Subdivision	railway	
1453787	Phoenix Subdivision	railway	
1483097		road	US:NM
1492992		road	US:AZ
1492993		road	US:AZ
1493241	AZ 64	road	US:AZ
1493242	AZ 61	road	US:AZ
1493243	Bullhead City–Kingman Highway	road	US:AZ
1493244	AZ 66	road	US:AZ
1493245	AZ 67	road	US:AZ
1501139	AZ 73	road	US:AZ
1501140	AZ 71	road	US:AZ
1501141	AZ 74	road	US:AZ
1501142	Junction State Route 95–Hope Highway	road	US:AZ
1501143	AZ 69	road	US:AZ
1501157	AZ 77	road	US:AZ
1501158	AZ 75	road	US:AZ
1501164	AZ 78	road	US:AZ
1501166	AZ 80	road	US:AZ
1501187	AZ 83	road	US:AZ
1501188	AZ 84	road	US:AZ
1501195	AZ 85	road	US:AZ
1501206	AZ 86	road	US:AZ
1501310	State Route 87	road	US:AZ
1501387	AZ 88	road	US:AZ
1501388	AZ 89	road	US:AZ
1501389	AZ 89A	road	US:AZ
1501738	AZ 90	road	US:AZ
1501739	AZ 92	road	US:AZ
1501935	AZ 95	road	US:AZ
1501955	AZ 96	road	US:AZ
1501956		road	US:AZ
1501988	AZ 98	road	US:AZ
1501989	AZ 99	road	US:AZ
1502005	AZ 169	road	US:AZ
1502009	AZ 177	road	US:AZ
1502062	AZ 179	road	US:AZ
1502063	AZ 186	road	US:AZ
1502064	AZ 188	road	US:AZ
1502065	AZ 189	road	US:AZ
1502066	AZ 181	road	US:AZ
1502067	Robert A. Vaughan Expressway	road	US:AZ
1502470	AZ 587	road	US:AZ
1502471	AZ 238	road	US:AZ
1502472	AZ 273	road	US:AZ
1502473	AZ 261	road	US:AZ
1502474	AZ 387	road	US:AZ
1502475		road	US:AZ
1502476	State Route 389	road	US:AZ
1502477	AZ 180A	road	US:AZ
1502478	AZ 288	road	US:AZ
1502479	AZ 264	road	US:AZ
1502480	AZ 564	road	US:AZ
1502481	AZ 266	road	US:AZ
1502482	AZ 287	road	US:AZ
1502483	AZ 79 Business	road	US:AZ:Business
1502484	AZ 347	road	US:AZ
1502485	AZ 473	road	US:AZ
1502486	AZ 260	road	US:AZ
