@id	network	ref	direction	name	route
32282	lcn	907			bicycle
32283	lcn	60			bicycle
32284	lcn	68			bicycle
32307	lcn	33			bicycle
32309	lcn	44			bicycle
32310	lcn	45			bicycle
32311	lcn	49			bicycle
32312	lcn	50			bicycle
32313	lcn	40			bicycle
32314	lcn	25			bicycle
32317	rcn	30			bicycle
32321	lcn	95			bicycle
32322	lcn	85			bicycle
32375	lcn	2			bicycle
32379	lcn	4			bicycle
32395	lcn	6			bicycle
32399	lcn	7			bicycle
32451	lcn	10			bicycle
32477	lcn	11			bicycle
32478	lcn	16			bicycle
38692	lcn			Channing Bicycle Boulevard	bicycle
38693	lcn			Milvia Bicycle Boulevard	bicycle
53029	lcn	T03		Highway 87 Trail	bicycle
53566	lcn	19		I-880 Corridor	bicycle
53567	lcn				bicycle
53568	lcn				bicycle
53722	lcn	PCB		Pacific Coast Bike Route (South)	bicycle
53731	lcn				bicycle
53732	lcn				bicycle
53736	lcn				bicycle
53737	lcn				bicycle
53738	lcn				bicycle
53740	lcn				bicycle
53742	lcn				bicycle
53743	lcn				bicycle
53902	lcn				bicycle
55971	lcn	11B			bicycle
55972	lcn				bicycle
56540	lcn	17			bicycle
56558	lcn	8B Spur			bicycle
56559	lcn				bicycle
56563	lcn				bicycle
56567	lcn	13		Bowers/Keily/Saratoga Corridor	bicycle
56568	lcn				bicycle
56569	lcn				bicycle
56571	lcn			San Tomas Aquino/Saratoga Creek Trail	bicycle
56573	lcn				bicycle
57411	lcn				bicycle
57412	lcn	29			bicycle
57413	lcn	5			bicycle
57453	lcn				bicycle
57476	lcn				bicycle
57477	lcn				bicycle
57478	lcn	35			bicycle
57481	lcn				bicycle
57482	lcn				bicycle
57485	lcn				bicycle
57486	lcn				bicycle
57487	lcn	229			bicycle
57489	lcn				bicycle
60198	rcn	JWC		John W. Christian Greenbelt	bicycle
61291	lcn	1			bicycle
61292	lcn	2			bicycle
61294	lcn	4			bicycle
61295	lcn	3			bicycle
61299	lcn	8			bicycle
61301	lcn	7			bicycle
62157	lcn	10			bicycle
62158	lcn	9			bicycle
63223	Muni	N		Muni Metro N inbound: Ocean Beach => Caltrain	light_rail
63250	Muni	T		Muni Metro T southbound: Chinatown-Rose Pak => Sunnydale	light_rail
63572	Muni	K		Muni Metro K inbound: Balboa Park => Embarcadero	light_rail
69364	US:I	80	west		road
70349	lwn			Los Trancos Trail	hiking
70350	US:I	280	north		road
71162	US:US	101	south		road
73317	lcn	90			bicycle
73319	lcn	905			bicycle
73321	lcn	805			bicycle
74660	US:I	880	north		road
74885	US:CA:CR	G6			road
76279	US:CA	87	north	87 (northbound)	road
76331	US:CA	267			road
86957	US:I	238	north		road
91022	Muni	M		Muni Metro M inbound: Balboa Park => Embarcadero	light_rail
93125	lcn	47			bicycle
93126	lcn	32			bicycle
93127	lcn	51			bicycle
93128	lcn	20			bicycle
93155	US:US:Historic	66		Historic US 66 (super)	road
93835	US:I	380	west		road
102127	US:I	280	south		road
105445	US:CA:CR	G3			road
108619	US:US	101	north		road
109568	US:CA	237	west	237 (westbound)	road
109569	US:CA	237	east	237 (eastbound)	road
109570	US:CA	85	north	85 (northbound)	road
109571	US:CA	85	south	85 (southbound)	road
109668	US:CA:San_Francisco:49_Mile_Scenic_Drive			49 Mile Scenic Drive	road
136154	US:I	405	north		road
146933	US:I:Truck	5	south	I 5 (CA truck southbound)	road
146934	US:I:Truck	5	north	I 5 (CA truck northbound)	road
149407	lcn	01		Highway 101 Corridor	bicycle
151621	US:CA	57	north		road
151622	US:CA	57	south		road
151628	US:CA	91	west		road
151632	US:CA	91	east		road
151658	US:CA	22	east	22 (eastbound)	road
151665	US:CA	22	W	22 (westbound)	road
151671	US:CA	55	N	55 (northbound)	road
151673	US:CA	55	S	55 (southbound)	road
151682	US:CA	133	N	133 (northbound)	road
151687	US:CA	133	S	133 (southbound)	road
151690	US:I	405	south		road
