@id	network	ref	direction	name	route
62935	US:I	670			road
69695	US:US:Alternate	69			road
77770	US:MO	150			road
78990	US:I	70	west		road
79230	US:I	635			road
94008	US:KS	7			road
95079	US:US	166			road
95080	US:US	400	west		road
197191	US:KS	10		KS 10	road
228513	US:I	335			road
228514	US:I	470			road
228529	US:I	70	west		road
228590	US:KS:Turnpike			Kansas Turnpike	road
229568	US:I	135			road
229569	US:I	235			road
276210	US:KS	171		KS 171 (East)	road
294992	US:MO:Supplemental	CC			road
331495	US:US	24			road
374606	US:KS	5			road
374982	US:US	40			road
375050	US:US	73			road
398373	US:US	159			road
404201	US:KS	15		Eisenhower Memorial Highway	road
413305	US:KS	99			road
413444	US:KS	177		KS 177	road
422570	US:US	40			road
456622	US:MO	52			road
557361	lcn			Hudson Trail	bicycle
557363	lcn			Anneberg Park Trail	bicycle
557365	lcn			Linear Trail	bicycle
576384	lcn			Manhattan River Trails	bicycle
899040	lcn			Arkansas River Bicycle Path	bicycle
904839	Amtrak	Southwest Chief	east	Amtrak Southwest Chief: Los Angeles => Chicago	train
908972	lhn			Konza Prairie Nature Trail	hiking
1029438	US:KS	113		KS 113	road
1076513	US:KS	18		KS 114	road
1115998	US:KS	80		KS 80	road
1163751	US:KS	16		KS 16	road
1165214	US:KS	58		KS 58	road
1165215	US:KS	249		KS 249	road
1165274	US:KS	92		KS 92	road
1165303	US:KS	20		KS 20	road
1319488	US:NHS High Priority Corridors			NHS High Priority Corridor 3	road
1320630	US:NHS High Priority Corridors			NHS High Priority Corridor 23	road
1322985	US:NHS High Priority Corridors			NHS High Priority Corridor 48	road
1323042	US:NHS High Priority Corridors			NHS High Priority Corridor 51	road
1331055	US:KS	148		KS 148	road
1331056	US:KS	128		KS 128	road
1331057	US:KS	28		KS 28	road
1331059	US:KS	14		KS 14	road
1333225	US:KS	9		KS 9	road
1333226	US:KS	22		KS 22	road
1421728				Limon Subdivision	railway
1431035				Salina Subdivision	railway
1431036				Sharon Springs Subdivision	railway
1431037				Lost Springs Subdivision	railway
1431038				Arkansas City Industrial Lead	railway
1431039				Topeka Subdivision	railway
1431040				Pratt Subdivision	railway
1431041				Trigo Industrial Lead	railway
1431042				McPherson Industrial Lead	railway
1431043				Wichita Industrial Lead	railway
1431044				Hope Industrial Lead	railway
1431045				Sid Industrial Lead	railway
1431046				Herington Subdivision	railway
1431047				Plainville Industrial Lead	railway
1431146				Wagoner Subdivision	railway
1431147				Parsons Subdivision	railway
1431148				Cherokee Subdivision	railway
1431149				Coffeyville Subdivision	railway
1431221				Kansas Subdivision	railway
1431278				Falls City Subdivision	railway
1431279				Jeffrey Spur	railway
1431280				Norkan Industrial Lead	railway
1431283				Robinson Industrial Lead	railway
1431288				Hiawatha Subdivision	railway
1431363				Arkansas City Subdivision	railway
1431382				BNSF Douglas Subdivision	railway
1431383				Emporia Subdivision	railway
1431384				La Junta Subdivision	railway
1431429				Strong City Subdivision	railway
1431430				Panhandle Subdivision	railway
1431437				Topeka Subdivision	railway
1431546				Marysville Subdivision	railway
1431644				KC Metro Subdivision	railway
1433352				Fort Scott Subdivison	railway
1441042				Indigo Road	road
1451445				Red Rock Subdivision	railway
1457803				Heavener Subdivision	railway
1457810				Pittsburg Subdivision	railway
1514561	US:KS	141		KS 141	road
1567525	US:KS	1		KS 1	road
1575424	US:KS	2		KS 2	road
1575627	US:KS	3		KS 3	road
1575841	US:KS	4		KS 4	road
1578058	US:KS	8S		KS 8 (South)	road
1578059	US:KS	8N		KS 8 (North)	road
1578308	US:KS	173		KS 173	road
1582255	US:KS			KS 171 (West) (Old)	
1582257	US:KS	13		KS 13	road
1582267	US:KS	11		KS 11	road
1583384	US:KS	19		KS 19	road
1584395	US:KS	120			road
1584483	US:KS	223		KS 223	road
1584484	US:KS	123		KS 123	road
1584485	US:KS	23		KS 23	road
1586494	US:KS	25		KS 25	road
1586544	US:KS	26		KS 26	road
1586820	US:KS	27		KS 27	road
1586821	US:KS	217		KS 217	road
1586822	US:KS	30		KS 30	road
1593690	US:US	36			road
1609252	US:KS	31		KS 31	road
1614668	rcn			Prairie Spirit Trail	bicycle
1627021	US:KS	214		KS 214	road
1627174	rcn			Flint Hills Nature Trail	bicycle
1628103	US:KS	96		KS 96	road
1628104	US:KS	167		KS 167	road
1628526	US:US	283			road
1628528	US:US	283			road
1628541	US:US	183			road
1628557	US:US	281			road
1628570	US:US	183			road
1629634	US:US	81			road
1629639	US:US	83			road
1629665	US:US	83			road
1629666	US:US	54			road
1629689	US:US	81			road
1629691	US:US	77	south		road
1629705	US:US	83			road
1700905	US:KS	39		KS 39	road
1711656	US:MO	92			road
1719062	US:KS	150		KS 150	road
1719063	US:KS	256		KS 256	road
1731023	US:KS	156		KS 156	road
1748266	rcn			Blue River Trail	bicycle
1759602	US:KS	258		KS 258	road
1759603	US:KS	84		KS 84	road
1759604	US:KS	85		KS 85	road
1759614	US:KS	186		KS 186	road
1759615	US:KS	188		KS 188	road
1762425	US:KS	267		KS 267	road
1778353	US:KS	117		KS 117	road
1778354	US:KS	161		KS 161	road
1780217	US:KS	261		KS 261	road
1780218	US:KS	383		KS 383	road
1780219	US:KS	67		KS 67	road
1781621	US:KS	112		KS 112	road
1781622	US:KS	121		KS 121	road
1781623	US:KS	182		KS 182	road
