@id	network	ref	direction	name	route
57456	US:VT	142			road
60855	US:I	295	north		road
60856	US:I	295	south		road
67381	US:RI	146			road
67779	US:RI	138			road
126985	ncn	DPDW		Dr. Paul Dudley White Path	bicycle
133174	lcn			Charles River - Minuteman Path	bicycle
147539	rcn			Minuteman Bikeway	bicycle
147544	lcn			Alewife Linear Park	bicycle
165109	US:I	90	east		road
229716	US:I	90	west		road
296172	US:I	90	east		road
302177	US:I	90	west		road
310507	lwn			Long Pond Nature Trail	hiking
317894	lwn			Skyline Trail	hiking
317895	lwn			Reservoir Trail	hiking
317896	mtb			Mountain Bike Loop	mtb
357462	lwn			Bear Hill Trail	hiking
359540	lwn			Dark Hollow Pond Trail	hiking
363668	rwn			Bay Circuit Trail	hiking
381651	lwn			Cross Fells Trail	hiking
386965	lwn			Panther Cave Trail	hiking
388994	lwn			Fells Path	hiking
388995	lwn			Rock Circuit Trail	hiking
389001	lwn			Skyline Trail	hiking
395227	rcn	1		Claire Saltonstall Bikeway	bicycle
396358	US:I	95		I 95 (MA)	road
400258	US:NY	344			road
402508	US:I	84			road
402509	US:I	84			road
408090	US:US	20			road
976514	lwn			Freedom Trail	foot
1099538	lwn			Historic Trail	hiking
1099539	lwn			Virginia Wood Trail	hiking
1115862	lwn			Crystal Spring Trail	hiking
1227918				Pine Grove Path	hiking
1227919				Melrose Path	hiking
1228272				White Rock Path	hiking
1229866	lwn			Page and Sadie Trail	foot
1262921				Harborwalk Charlestown	foot
1269021				Northeast Corridor	railway
1272209				Forest Path	
1343722	US:MA	1A		MA 1A	road
1343813	US:MA	228			road
1343814	US:MA	286			road
1343817	US:MA	240			road
1343825	US:MA	295			road
1343969	US:MA	225			road
1343985	US:MA	213			road
1343987	US:MA	220			road
1343988	US:MA	203			road
1344094	US:MA	192			road
1344095	US:MA	193			road
1344096	US:MA	183			road
1344097	US:MA	197			road
1344098	US:MA	198			road
1344099	US:MA	187			road
1344100	US:MA	189			road
1344101	US:MA	186			road
1344108	US:MA	177		MA 177	road
1344109	US:MA	181			road
1344110	US:MA	169			road
1344111	US:MA	159			road
1344112	US:MA	168			road
1344166	US:MA	149			road
1344167	US:MA	150			road
1344168	US:MA	152		MA 152	road
1344169	US:MA	151			road
1344170	US:MA	148			road
1344304	US:MA	147			road
1344305	US:MA	146A			road
1344306	US:MA	146			road
1344324	US:MA	145			road
1344373	US:MA	143			road
1344374	US:MA	141			road
1344375	US:MA	142			road
1345170	US:MA	140			road
1345179	US:MA	139			road
1345181	US:MA	25			road
1345182	US:MA	24		MA 24	road
1345183	US:MA	3			road
1345184	US:MA	128			road
1345212	US:MA	2			road
1345236	US:MA	2A			road
1345244	US:MA	3A			road
1345245	US:MA	4			road
1345253	US:MA	6A			road
1345258	US:MA	7A			road
1345262	US:MA	8			road
1345264	US:MA	8A			road
1345273	US:MA	9			road
1345279	US:MA	10			road
1345290	US:MA	12			road
1345319	US:MA	14			road
1345320	US:MA	13			road
1345330	US:MA	16			road
1345396	US:MA	18			road
1345407	US:MA	19			road
1345412	US:MA	20A			road
1345413	US:MA	21			road
1345425	US:MA	23			road
1345426	US:MA	22			road
1345434	US:MA	27			road
1345448	US:MA	28			road
1345449	US:MA	28A			road
1345733	US:MA	30			road
1345734	US:MA	31			road
1345742	US:MA	32A			road
1345743	US:MA	32			road
1345783	US:MA	33			road
1345793	US:MA	36			road
1345794	US:MA	38			road
1345795	US:MA	37			road
1345796	US:MA	35			road
1345798	US:MA	39			road
1346508	US:MA	43			road
1346509	US:MA	49			road
1346510	US:MA	40			road
1346511	US:MA	47			road
1346512	US:MA	41			road
1346523	US:MA	53			road
1346525	US:MA	56			road
1346526	US:MA	57			road
1346527	US:MA	58			road
1346529	US:MA	60			road
1346539	US:MA	62			road
1346541	US:MA	66			road
1346542	US:MA	63			road
1346543	US:MA	67			road
1346544	US:MA	68			road
1346546	US:MA	70			road
1346553	US:MA	75			road
1346554	US:MA	79			road
1346555	US:MA	78			road
1346556	US:MA	71			road
1346557	US:MA	80			road
1346568	US:MA	81			road
1346569	US:MA	83			road
1346579	US:MA	85			road
1346580	US:MA	88			road
1346582	US:MA	96			road
1346583	US:MA	98			road
1346584	US:MA	97			road
1346585	US:MA	99			road
1346659	US:MA	101			road
1346669	US:MA	102			road
1346670	US:MA	103			road
1346671	US:MA	105			road
1346672	US:MA	104			road
1346694	US:MA	106			road
1346695	US:MA	107			road
1346724	US:MA	108			road
1346725	US:MA	109			road
1346726	US:MA	110			road
1346731	US:MA	111			road
1346759	US:MA	115			road
1346760	US:MA	113			road
1346761	US:MA	112			road
1346762	US:MA	114			road
1346763	US:RI	114A			road
1346782	US:MA	118			road
1346784	US:MA	117			road
1346785	US:MA	116			road
1346786	US:MA	120			road
1346787	US:MA	121			road
1346788	US:MA	119			road
1346795	US:MA	122A			road
1346820	US:MA	122		MA 122	road
1346840	US:MA	123		MA 123	road
1346850	US:MA	125			road
1346851	US:MA	124			road
1346902	US:MA	129			road
1346903	US:MA	129A			road
1346904	US:MA	126			road
1346905	US:MA	127			road
1346906	US:MA	127A			road
1346935	US:MA	130			road
