@id	network	ref	direction	name	route
52281	US:US	302			road
104926	lcn			Back Cove Trail	bicycle
104927	lcn			Eastern Prom Multi-Use Trail	bicycle
104929	lcn			Washington Avenue bike route	bicycle
104931	lcn			Veranda St. / Falmouth Bike Route	bicycle
104935	lcn			Route 88 Bike Route	bicycle
104939	lcn			Danforth Street Bike Route	bicycle
104940	lcn			Commercial Street Bike Route	
104945	lcn			Baxter Boulevard Bike Route	bicycle
104947					bicycle
104952	lcn			Westbrook-Windham Bike Route	bicycle
106482	lcn			Park Avenue Bike Route	bicycle
106489	lcn			Eastern Prom Bike Route	bicycle
106513	lcn			Greenbelt Walkway	bicycle
106516	lcn			Fort Williams Bike Route	bicycle
106518	lcn			Ocean St Bike Route	bicycle
106520	lcn			Scarborough Beaches Bike Route	bicycle
106522	lcn			Oak Hill Bike Route	bicycle
106526	rcn	ET		Eastern Trail Sections 5-7	bicycle
107071	lcn			Highland Avenue Bike Route	bicycle
112310	US:US:Bypass	1			road
307755	US:ME	222			road
307785	US:ME	221			road
307788	US:ME	11A			road
307821	US:I	395	east		road
307822	US:I	395	west		road
307920	US:I	195	east		road
307921	US:I	195	west		road
308413	US:ME	193			road
331171	US:ME	182			road
331181	US:ME	185			road
331182	US:ME	183			road
331191	US:ME	186			road
331192	US:ME	195			road
331197	US:ME	200			road
450790	US:US	201			road
1135636	lcn			Bayside Trail	foot
1322982	US:NHS High Priority Corridors			NHS High Priority Corridor 50	road
1369614	US:NH	4			road
1369619	US:NH	9			road
1376602	US:NH	11			road
1711805	lwn			Traverler Mountain Trail	hiking
1770787	ncn	1		1 (Maine)	bicycle
1770834	ncn	1A			bicycle
1770874	ncn	ECG		East Coast Greenway (ME)	bicycle
1878190	lwn	Maine.gov		Whistle Stop Trail	hiking
1906031	lwn			East Coast Greenway	hiking
1936016	US:US:Business	1			road
1936017	US:US	1A			road
1936018	US:US	1A			road
1936019	US:US	1A			road
1936020	US:US	1A			road
1936021	US:US	1A			road
1936022	US:US	1A			road
1936023	US:US	1A			road
1936024	US:US	201A			road
1936025	US:US	2A			road
1936026	US:US	2A			road
2007932	nwn	AT	both	Appalachian Trail	hiking
2097825				Lynx Trail	hiking
2182761	lwn			Foss and Knowlton Trail	hiking
2182768	lwn			Wadleigh Brook Trail	hiking
2297232	US:US	1			road
2307083	US:US	2			road
2307086	US:US	2			road
2307093	US:US	202			road
2307094	US:US	202			road
2402617	US:ME	3			road
2403899	US:ME	4			road
2403946	US:ME	5			road
2403979	US:ME	6			road
2404005	US:ME	7			road
2404103	US:ME	8			road
2404148	US:ME	4A			road
2404149	US:ME	4A			road
2404220	US:ME	9			road
2404222	US:ME	10			road
2404267	US:ME	11		Aroostock Scenic Highway	road
2404268	US:ME	9A			road
2404269	US:ME	9B			road
