@id	network	ref	direction	name	route
61885	US:I:Business:Loop	44			road
61887	US:MO:Supplemental	FF			road
62134	US:MO	37			road
62142	US:MO:Supplemental	U			road
62143	US:MO:Supplemental	F			road
62935	US:I	670			road
63200	US:MO	96			road
63206	US:MO	171			road
69247	US:I:Business:Loop	44			road
69248	US:MO:Supplemental	J			road
69449	US:MO	174			road
69451	US:MO	266			road
69454	US:MO	66			road
69463	US:MO:Supplemental	V		Missouri Route V (Netwon County)	road
69696	US:MO:Supplemental	W			road
69697	US:MO	249			road
69698	US:I:Business:Loop	49			road
69944	US:US:Business	60			road
69949	US:US:Business	60			road
69950	US:MO	59			road
70400	US:MO:Supplemental	E			road
70401	US:MO	43			road
70405	US:US:Business	60			road
70408	US:I:Business:Loop	44			road
70435	US:MO	571			road
75965	US:MO:Supplemental	H			road
75968	US:MO	97			road
75980	US:MO	90			road
75981	US:MO:Supplemental	AA			road
75982	US:US:Business	60			road
76454	US:MO	39			road
76457	US:MO:Supplemental	RB			road
76459	US:MO:Business	37			road
76814	US:MO	76			road
77098	US:MO	86			road
77479	US:MO	112			road
77480	US:MO	248			road
77483	US:MO	126			road
77502	US:MO	265			road
77516	US:MO	173			road
77520	US:MO	376			road
77747	US:I:Business:Loop	49		"Interstate 49 Business (Neosho, MO)"	road
77748	US:MO	175			road
77770	US:MO	150			road
77773	US:MO	245			road
77784	US:MO	215			road
77861	US:MO	137			road
77868	US:MO	123			road
77875	US:MO	32			road
77886	US:MO	269			road
78990	US:I	70	west		road
79230	US:I	635			road
80144	US:MO	744			road
80276	US:MO	7			road
80280	US:MO	12			road
87281	US:MO	68			road
87282	US:MO	8			road
87302	US:MO	72			road
87305	US:MO	49			road
87312	US:MO	19			road
95079	US:US	166			road
95080	US:US	400	west		road
97785	US:MO	13			road
102346	US:I	270			road
102843	US:MO	33			road
103653	US:I	229			road
104066	US:MO	45			road
104067	US:MO	273			road
104069	US:MO	48			road
106219	US:MO	360			road
117941	US:I	470			road
118921	US:MO	291			road
118951	US:MO	152			road
127266	US:MO	213			road
127267	US:MO:Business	13			road
127268	US:MO	20			road
127276	US:MO	41			road
127278	US:MO	122			road
128524	US:MO	98			road
128560	US:MO	87			road
128599	US:MO	187			road
136051	US:MO	30			road
136075	US:MO	370			road
136078	US:MO	267			road
137336	US:MO	231			road
137419	US:I	255			road
139083	US:US	61		61	road
181740	US:MO	366			road
181749	US:MO	141			road
184112	US:MO	23			road
184127	US:MO	127			road
184150	US:MO	116			road
184215	US:MO	82			road
228605	US:I	70	west		road
270633	US:MO	58			road
270649	US:MO	131			road
271308	US:MO	148			road
271315	US:MO	246			road
271882	US:MO	46			road
271884	US:MO	118			road
271885	US:MO	113			road
271886	US:MO	120			road
271887	US:MO	85			road
271890	US:MO	111			road
271891	US:MO:Spur	111			road
273236	US:MO	190			road
273237	US:MO	146			road
273238	US:MO	128			road
273239	US:MO	145			road
273261	US:MO	6			road
273277	US:MO	139			road
273279	US:MO	130			road
273637	US:MO	752			road
274015	US:I:Business:Loop	29		"I 29 Business (St. Joseph, MO)"	road
274042	US:MO	759			road
274091	US:MO	371			road
276210	US:KS	171		KS 171 (East)	road
287603	US:MO:Supplemental	HH			road
288783	US:MO:Supplemental	AA			road
288789	US:MO:Supplemental	M			road
288790	US:MO:Supplemental	N			road
288792	US:MO:Supplemental	BB			road
288794	US:MO:Supplemental	T			road
288807	US:MO:Supplemental	O			road
288820	US:MO:Supplemental	V			road
289585	US:MO:Supplemental	D			road
289605	US:MO:Supplemental	TT			road
294991	US:MO:Supplemental	KK			road
294992	US:MO:Supplemental	CC			road
294993	US:MO:Supplemental	YY			road
295000	US:MO:Supplemental	P			road
295919	US:MO:Supplemental	H			road
295920	US:MO:Supplemental	K			road
295921	US:MO:Supplemental	A			road
295925	US:MO:Supplemental	Z			road
295926	US:MO:Supplemental	B			road
295929	US:MO:Supplemental	T			road
295944	US:MO:Supplemental	T			road
295945	US:MO:Supplemental	HH			road
295946	US:MO:Supplemental	TT			road
295947	US:MO:Supplemental	O			road
295949	US:MO:Supplemental	A			road
295950	US:MO:Supplemental	W			road
295953	US:MO:Supplemental	U			road
295955	US:MO:Supplemental	EE			road
295958	US:MO:Supplemental	M			road
295960	US:MO:Supplemental	E			road
295962	US:MO:Supplemental	JJ			road
295976	US:MO:Supplemental	B			road
295977	US:MO:Supplemental	H			road
295980	US:MO:Supplemental	D			road
296499	US:MO:Supplemental	CC			road
296809	US:MO:Supplemental	C			road
296810	US:MO:Supplemental	B			road
296811	US:MO:Supplemental	Y			road
296813	US:MO:Supplemental	DD			road
296815	US:MO:Supplemental	CC			road
296819	US:MO:Supplemental	K			road
296822	US:MO:Supplemental	C			road
296827	US:MO:Supplemental	BB			road
296833	US:MO:Supplemental	NN			road
296834	US:MO:Supplemental	P			road
296837	US:MO:Supplemental	MM		Missouri Route MM (Newton County)	road
296848	US:MO:Supplemental	PP			road
296856	US:MO:Supplemental	W			road
296857	US:MO:Supplemental	VV			road
296858	US:MO:Supplemental	P			road
296859	US:MO:Supplemental	K			road
296860	US:MO:Supplemental	FF			road
296862	US:MO:Supplemental	ZZ			road
298556	US:MO:Supplemental	BB			road
298558	US:MO:Supplemental	YY			road
298561	US:MO:Supplemental	B			road
298565	US:MO:Supplemental	AA			road
298567	US:MO:Supplemental	C			road
299930	US:MO:Supplemental	NN			road
299932	US:MO:Supplemental	UU			road
299933	US:MO:Supplemental	OO			road
299935	US:MO:Supplemental	V			road
300591	US:MO:Supplemental	J			road
300592	US:MO:Supplemental	Y			road
300596	US:MO:Supplemental	AA			road
331495	US:US	24			road
331513	US:MO:Supplemental	JJ			road
331528	US:MO:Supplemental	M			road
371157	US:I	72			road
375244	US:IA	27		IA 27	road
398373	US:US	159			road
422570	US:US	40			road
443215	US:US	24		US 24 (super)	road
445482	US:MO	185			road
445483	US:MO:Spur	185			road
445488	US:MO	21			road
445490	US:MO	104			road
446071	US:MO	143			road
446072	US:MO	172			road
446075	US:MO	117			road
446090	US:MO	34			road
446101	US:MO	51			road
446106	US:MO	53			road
446107	US:MO	158			road
446108	US:MO	103			road
446109	US:MO	99			road
446120	US:MO	101			road
446130	US:MO	142			road
446841	US:MO	91			road
446843	US:MO	80			road
446850	US:MO	77			road
446851	US:MO	105			road
446852	US:MO	102			road
446853	US:MO	75			road
446854	US:MO	114			road
446855	US:MO	153			road
446856	US:MO	162			road
446857	US:MO	84			road
446858	US:MO	164			road
446860	US:MO	108			road
446864	US:MO	25			road
446865	US:MO:Business	25			road
447596	US:MO	74			road
447600	US:MO	177			road
447604	US:MO	5			road
447606	US:MO:Business	5			road
448269	US:MO	95			road
448273	US:MO	181			road
448274	US:MO	125			road
