@id	network	ref	direction	name	route
52281	US:US	302			road
112310	US:US:Bypass	1			road
153206	rcn			Northern Rail Trail	bicycle
187119	lcn			Derry Bike Loop	bicycle
396358	US:I	95		I 95 (MA)	road
1241153	US:NH	101			road
1322982	US:NHS High Priority Corridors			NHS High Priority Corridor 50	road
1343722	US:MA	1A		MA 1A	road
1344167	US:MA	150			road
1345244	US:MA	3A			road
1345279	US:MA	10			road
1345743	US:MA	32			road
1345794	US:MA	38			road
1346542	US:MA	63			road
1346555	US:MA	78			road
1346724	US:MA	108			road
1354958	MBTA	CR-Haverhill		MBTA Haverhill Line: Boston North <=> Haverhill	train
1359387	Amtrak	Vermonter		Amtrak Vermonter: Washington => Saint Albans	train
1369405	US:NH	16	north		road
1369420	US:NH	1A			road
1369421	US:NH	1B			road
1369440	US:NH	3A	north;south		road
1369441	US:I	293			road
1369614	US:NH	4			road
1369616	US:NH	9A			road
1369618	US:NH	4A			road
1369619	US:NH	9			road
1369705	US:NH	10			road
1369738	US:NH	10A			road
1376602	US:NH	11			road
1376938	US:NH	12			road
1376939	US:NH	11A			road
1376940	US:NH	11C			road
1376941	US:NH	12A			road
1376942	US:NH	11B			road
1377023	US:NH	13			road
1377068	US:NH	16A			road
1377069	US:NH	16B			road
1377070	US:NH	18			road
1606780	rwn			Wapack Trail	hiking
1694958	US:I	393			road
1770787	ncn	1		1 (Maine)	bicycle
1770874	ncn	ECG		East Coast Greenway (ME)	bicycle
1774794	ncn	ECG		East Coast Greenway (MA)	bicycle
1780662	ncn	ECG		East Coast Greenway (NH)	bicycle
1851100				Flat Iron XC Ski Trail	piste
2142509	lwn				hiking
2227917	lcn			Upper Valley Loop Trail	bicycle
2295498	US:US	3			road
2295499	US:US	3			road
2297231	US:US	1		US 1 (MA)	road
2297232	US:US	1			road
2297233	US:US	1			road
2307086	US:US	2			road
2307087	US:US	2		Theodore Roosevelt International Highway	road
2307092	US:US	202			road
2307094	US:US	202			road
2308400	US:US	4			road
2317544	rwn	MMT		Metacomet - Monadnock Trail	hiking
2406007	US:ME	16			road
2406125	US:ME	26			road
2576941				Dangerous Bones Bike area	mtb
2614540	lwn			Albert Schweitzer Trails	hiking
3031252	ncn	1		1 (New Hampshire)	bicycle
3075304	lwn			Tuckerman Ravine Trail	hiking
3075305	lwn			Boott Spur Trail	hiking
3249534	US:ME	109			road
3250165	US:ME	113			road
3392247				Ligne d'interconnexion à courant continu Radisson Qc - Sandy Pond Ma - 450 kV	power
3572961	US:I	93	north		road
3572962	US:I	93			road
3672563	nwn	NET		New England National Scenic Trail	hiking
3786927	ncn	1		1 (Massachusetts)	bicycle
3873055	lwn			Lion Head Trail	hiking
3873227				Bartlett Mountain Trail	hiking
3888870				Blue Trail	hiking
3888871	rwn			Monadnock-Sunapee Greenway	hiking
3901289				Silver Mountain Trail	hiking
4216531	lwn			Jeff Smith Trail	hiking
4743492	Amtrak	Downeaster		Amtrak Downeaster: Boston => Brunswick	train
5319691	US:VT	18			road
5321477	US:VT	114			road
5378583				Camp Morgan Trail	hiking
5506446	lcn			Nashua River Rail Trail	bicycle
5610324	lwn			Ammonoosuc Ravine Trail	hiking
5680583	lwn			Westside Trail	hiking
5680584	lwn			Davis Path	hiking
5680586	lwn			The Direttissima	hiking
5680589	lwn			Glen Boulder Trail	hiking
5726689	lwn			Hungtington Ravine Trail	hiking
5726690	lwn			Nelson Crag Trail	hiking
5726691	lwn			Raymond Path	hiking
5726692	lwn			Alpine Garden Trail	hiking
5729370	lwn			Crawford Path Connector	hiking
5729371	lwn			Crawford Path	hiking
5731371	lwn			Edmands Path	hiking
5731396	lwn			Dry River Cutoff	hiking
5731397	lwn			Mount Eisenhower Trail	hiking
5731398	lwn			Saco River Trail	hiking
5731399	lwn			Webster Cliff Trail	hiking
5731400	lwn			Mount Clinton Trail	hiking
5731401	lwn			Dry River Trail	hiking
5731402	lwn			Mizpah Cutoff	hiking
5731403	lwn			Webster-Jackson Trail	hiking
5731404	lwn			Sam Willey Trail	hiking
5740294	lwn			Isolation Trail	hiking
5740295	lwn			Stairs Col Trail	hiking
5740296	lwn			Rocky Branch Trail	hiking
5763118	lwn			Mount Monroe Loop	hiking
5763119	lwn			Mount Eisenhower Loop	hiking
5763264	lwn			Wamsutta Trail	hiking
5763265	lwn			Chandler Brook Trail	hiking
5763895	lwn			Osgood Cutoff	hiking
5763896	lwn			Great Gulf Trail Link	hiking
5763897	lwn			Great Gulf Trail	hiking
5764447	lwn			Jewell Trail	hiking
5764448	lwn			Mount Clay Loop	hiking
5764449	lwn			Sphinx Trail	hiking
5765666	lwn			Parapet Trail	hiking
5765667	lwn			Daniel Webster Trail	hiking
5809469	lwn			Buttress Trail	hiking
5809470	lwn			Star Lake Trail	hiking
5809644	lwn			Six Husbands Trail	hiking
5809645	lwn			Caps Ridge Trail	hiking
5809646	lwn			Mount Jefferson Loop	hiking
5809647	lwn			Edmands Col Cutoff	hiking
