@id	network	ref	direction	name	route
50854				Rutland Trail	bicycle
51049	US:VT	22A			road
59421				Sissy Danforth Rivergate Trail	bicycle
67761	US:US	20			road
67765	US:NY	5			road
67766	US:NY	443			road
67769	US:NY	85			road
67770	US:NY	85A			road
73463	lcn	BBC Corfu East Road Race Course		BBC Corfu East Road Race Course	bicycle
76412	lcn	BBC Corfu West Road Race Course		BBC Corfu West Road Race Course	bicycle
76414	lcn	BBC Alabama East Road Race Course		BBC Alabama East Road Race Course	bicycle
76415	lcn	BBC Akron Time Trial Race Course		BBC Akron Time Trial Race Course	bicycle
76416	lcn	BBC Pendleton / Baracchi TT Course		BBC Pendleton / Baracchi TT Course	bicycle
77064	lcn	BBC Alabama West Road Race Course		BBC Alabama West Road Race Course	bicycle
77065	lcn	BBC Arcade Road Race Course		BBC Arcade Road Race Course	bicycle
77066	lcn	BBC Langford Road Race Course		BBC Langford Road Race Course	bicycle
77067	lcn	BBC Hunter's Creek Road Race Course		BBC Hunter's Creek Road Race Course	bicycle
77068	lcn	BBC Grand Island ITT Race Course		BBC Grand Island ITT Race Course	bicycle
77069	lcn	BBC Rice Hill Road Race Course		BBC Rice Hill Road Race Course	bicycle
86628	lcn	BBC Wyoming Road Race Course		BBC Wyoming Road Race Course	bicycle
106570	lcn	GVCC Bloomfield Road Race Course		GVCC Bloomfield Road Race Course	bicycle
109736	US:NY:Parkway:NYC	FDR		FDR Drive	road
110748				Long Island Motor Parkway	road
112360	US:NY:Parkway:NYC	HRD		Harlem River Drive	road
116192	lcn	Bristol Road Race		Bristol Road Race	bicycle
122338				Lake Trail	hiking
128214	US:I	190			road
149800	lcn	BBC Hamburg TT Race Course		BBC Hamburg TT Race Course	bicycle
149807	lcn	Hamburg Criterium Race Course		Hamburg Criterium Race Course	bicycle
157589	US:NY	32			road
161599	US:US	9		U.S. Route 9 (NY)	road
165109	US:I	90	east		road
165312	lcn	BBC West Tillen Hill Climb TT		BBC West Tillen Hill Climb TT	bicycle
169111	US:I	99			road
181230	US:I	87		Interstate 87 (New York)	road
181708	US:NY:Ulster	22A		Ulster County Route 22A	road
181725	US:NY	299			road
181746	US:NY	199			road
181751	US:NY	212			road
182155	US:NY	23A			road
182161	US:NY	23			road
182363	US:NY	81			road
182582	US:NY	144			road
182626	US:NY	143			road
182682	US:NY	396			road
183149	US:I	787			road
183469	US:NY	155			road
183839	US:I	84			road
184099	US:NJ:GSP	GSP		Garden State Parkway	road
190215	lcn	East Aurora Bicycle Race (FKA Toyfest)		East Aurora Bicycle Race (FKA Toyfest)	bicycle
207401	NJ Transit	North Jersey Coast		NJ Transit North Jersey Coast Line: New York <=> Bay Head	train
229716	US:I	90	west		road
233149	US:I	481	north		road
233150	US:I	481	south		road
239992	lcn	BBC East Arcade Road Race Course		BBC East Arcade Road Race Course	bicycle
275643	lcn	GVCC Mendon Road Race		GVCC Mendon Road Race	bicycle
302287	US:I	81	south		road
302883	US:I	81	north		road
304608	US:I	690	east		road
304609	US:I	690	west		road
306742	lcn			Mohawk-Hudson Bike-Hike Trail (bike)	bicycle
317591	US:I	88	west		road
317592	US:I	88	east		road
317844	US:I	890	west		road
317845	US:I	890	east		road
318419	US:I	490	west		road
318420	US:I	490	east		road
318526	US:I	590	south		road
318527	US:I	590	north		road
318795	US:I	390	north		road
318796	US:I	390	south		road
318797	US:I	86	east		road
318798	US:I	86	west		road
319776	US:I	84			road
325199	US:I	684	south		road
325200	US:I	684	north		road
325248	US:I	290	east		road
325249	US:I	290	west		road
325449	US:I	990	north		road
