@id	network	ref	direction	name	route
69695	US:US:Alternate	69			road
70405	US:US:Business	60			road
76814	US:MO	76			road
94008	US:KS	7			road
139340	US:I	40	west		road
228590	US:KS:Turnpike			Kansas Turnpike	road
365568	US:TX:Spur	30		Texas State Highway Spur 30	road
450419	US:US	62			road
452037	US:US	266			road
1202588	lcn			Creek Turnpike Trail	bicycle
1202589	lcn			River Parks West Bank Trail	bicycle
1202590	lcn			Mingo Trail	bicycle
1202591	lcn			River Parks East Bank Trail	bicycle
1203534	lcn			Jenks Aquarium Trail	bicycle
1203621	lcn			KATY Trail	bicycle
1203739	lcn			Liberty Parkway Trail	bicycle
1203767	lcn			Tuckabache Trail	bicycle
1203791	lcn			Newblock Park Trail	bicycle
1203965	lcn			Osage Prairie Trail	bicycle
1203977	lcn			River City Trail	bicycle
1204120	lcn			Riverwalk Trail	bicycle
1225838	US:TX	152			road
1250814	US:I	44	east		road
1250815	US:I	44	west		road
1251959	US:OK	117A			road
1319488	US:NHS High Priority Corridors			NHS High Priority Corridor 3	road
1319490	US:NHS High Priority Corridors			NHS High Priority Corridor 8	road
1322911	US:NHS High Priority Corridors			NHS High Priority Corridor 38	road
1323042	US:NHS High Priority Corridors			NHS High Priority Corridor 51	road
1379672	US:I		west	I 444 (westbound)	road
1379674	US:I		east	I 444 (eastbound)	road
1379699	US:I	244	west	"Martin Luther King, Junior Memorial Expressway"	road
1379700	US:I	244	east	"Martin Luther King, Junior Memorial Expressway"	road
1391290	US:TX	91			road
1394448	US:AR	43			road
1414913	US:TX	79			road
1414956	lcn			Main Street Linkage	bicycle
1414958	lcn			Archer Street	bicycle
1414961	lcn				bicycle
1414978	lcn			3rd-4th Bike Boulevard	bicycle
1414979	lcn			Delaware Bike Boulevard	bicycle
1415924	lcn			L L Tisdale Parkway Trail	bicycle
1416546	lcn			Cherry Creek Trail	bicycle
1416564	lcn			Skelly Bypass Trail	bicycle
1416565	lcn			LaFortune Trail	bicycle
1416567	lcn			Owasso-Mohawk Trail	bicycle
1416586	lcn			Fry Creek Trail	bicycle
1416603	lcn			36th Street Linkage Distributor	bicycle
1416604	lcn			36th Street Linkage	bicycle
1416605	lcn			56th Street Linkage	bicycle
1420815				Boise City Subdivision	railway
1421823	rcn	66		Historic Route 66 Bike Trail	bicycle
1427184	lcn				bicycle
1427199	lcn				bicycle
1428042	lcn			Tulsa North/South Linkage	bicycle
1428089	lcn				bicycle
1428115	lcn			Avery Drive Linkage	bicycle
1431040				Pratt Subdivision	railway
1431146				Wagoner Subdivision	railway
1431148				Cherokee Subdivision	railway
1431430				Panhandle Subdivision	railway
1440476	lcn				bicycle
1440477	lcn				bicycle
1451445				Red Rock Subdivision	railway
1457803				Heavener Subdivision	railway
1457805				Fort Smith Branch	railway
1457807				Shreveport Subdivision	railway
1458473				Duncan Subdivision	railway
1458475				Choctaw Subdivision	railway
1458515				Madill Subdivision	railway
1481230	US:TX	37			road
1491551	US:NM	410			road
1492126	US:NM	456			road
1550587	US:TX	33			road
1567525	US:KS	1		KS 1	road
1578058	US:KS	8S		KS 8 (South)	road
1582092	rcn			Bicycle Western Oklahoma	bicycle
1595200	US:I	40	west		road
1628524	US:US	259			road
1628528	US:US	283			road
1628530	US:US	385			road
1628532	US:US	281			road
1628535	US:US	385			road
1628537	US:US	287			road
1628541	US:US	183			road
1628542	US:US	277			road
1628549	US:US	283			road
1628550	US:US	385			road
1628551	US:US	271			road
1628558	US:US	283			road
1628565	US:US	287			road
1628567	US:US	377			road
1629634	US:US	81			road
1629641	US:US	70		US 70 (AR)	road
1629672	US:US	59			road
1629680	US:US	62			road
1629687	US:US	70			road
1629691	US:US	77	south		road
1629694	US:US	60			road
1629695	US:US	69	north		road
1629703	US:US	81			road
1629705	US:US	83			road
1671845	US:OK	3	west		road
1681604	US:TX	15			road
1713231	US:AR	8			road
1713310	US:AR	244			road
1714666	US:AR	4			road
1715515	US:AR	156			road
1716076	US:AR	28			road
1716144	US:AR	88			road
1716216	US:AR	234			road
1716232	US:AR	108			road
1716234	US:AR	32			road
1716236	US:AR	380			road
1796340	US:US:Historic	66			road
1796821	US:KS	66		KS 66	road
1796822	US:US:Historic	66		Historic US 66 (KS)	road
1937383	US:US:Alternate	169			road
1937386	US:US:Alternate	75			road
1941511	US:US:Business	271			road
1941521	US:US:Business	59			road
1941929	US:I:Business:Loop	40		"I 40 Business (Henryetta, OK)"	road
1941931	US:US:Business	60			road
1941932	US:US:Business	60			road
1941939	US:US:Business	62			road
1941940	US:US:Business	62			road
1941941	US:US:Business	62			road
1941944	US:US:Business	64			road
1941946	US:US:Business	69			road
1941948	US:US:Business	69			road
1941952	US:US:Business	75			road
1942176	US:US:Business	271			road
1942177	US:US:Business	70			road
1944101	US:US:Business	270			road
1944102	US:US:Business	270			road
1944103	US:US:Business	270			road
1944105	US:US:Business	281			road
1944297	US:US:Bypass	70			road
1952603	local			City Ride Circuit	bus
1952945	lcn			Joe Creek Trail	bicycle
1965834	US:TX:FM	120			road
1969130	US:TX:FM	338			road
2063723	US:TX:FM	2586			road
2090118					power
2090119					power
2090120					power
2090121					power
2096800					power
2096801					power
2182835	inland waterways	M 40		McClellan-Kerr Arkansas River Navigation System	boat
2191267				Oklahoma River	boat
2207000	lcn	fire department		Norwood Rural Volunteer Fire Department	bicycle
2214819				Cherokee Subdivision	railway
2234475	US:TX:FM	2677			road
2248195	US:OK	70A			road
2253246	US:OK	1			road
2253836	US:OK	2			road
2253879	US:OK	2			road
2254050	US:OK	3W	west		road
2254081	US:OK	3E	west		road
2254522	US:OK:Turnpike		east	Cherokee Turnpike	road
2255330	US:OK:Turnpike		west	Cherokee Turnpike	road
2261344	US:OK:Turnpike	301		Chickasaw Turnpike	road
2304453	US:US	59			road
2307474	US:OK	130			road
2308448	US:US	412			road
2308449	US:US	412			road
2309420	US:US	56			road
2309421	US:US	56			road
2310342	US:US	62			road
2310348	US:US	64			road
2310384	US:US	270			road
2310386	US:US	270			road
2310875	US:OK	76			road
2319874					road
2335783	US:I	35	north		road
2335784	US:I	35	south		road
2335811	US:I	35	north		road
2335812	US:I	35	south		road
2406356	US:I:Business:Loop	40		"I 40 Business (Weatherford, OK)"	road
2409091	US:I:Business:Loop	40		"I 40 Business (Clinton, OK)"	road
2409092	US:I:Business:Loop	40			road
2409093	US:I:Business:Loop	40		"I 40 Business (Elk City, OK)"	road
2409094	US:I:Business:Loop	40			road
2416848	US:I:Business:Loop	40		"I 40 Business (Erick, OK)"	road
2416849	US:US:Spur	281			road
2838398	US:OK	4			road
2840762	US:OK	4			road
2840802	US:OK	5			road
2845255	US:OK	5			road
2845256	US:OK	5A			road
2845257	US:OK	5B			road
2845258	US:OK	5C			road
2855448	US:OK	6			road
2863164	US:OK	7A			road
2863165	US:OK	7D			road
2887865	US:OK	8			road
2887866	US:OK	8B			road
2887867	US:OK	8A		Roman Nose State Parkway	road
2889070	US:OK:Business	9			road
2890912	US:OK:Business	9			road
2993896	US:TX:FM	1454			road
2993908	US:TX:FM	2124			road
2993913	US:TX:RM	2248		Ranch to Market Road 2248	road
2993926	US:TX:FM	2741			road
2993927	US:TX:RM	2758		Ranch to Market Road 2758	road
3002997	lcn			Creek Turnpike Trail	bicycle
3006413	US:OK	48			road
3006577	US:OK	48A			road
3013705	US:OK	20			road
3081565	US:OK:Tulsa:Tulsa	LL		Reverend L. L. Tisdale Parkway	road
3108517	US:OK	266			road
3108562	US:OK	51		"42nd ""Rainbow"" Infantry Division Memorial Highway"	road
3110246	US:OK	165			road
3110314	US:OK	82			road
3131307	US:OK	97			road
3139345				Red Trail	mtb
3139346	lwn			Red Trail	hiking
3140234	US:OK	38			road
3140247	US:OK	45			road
3140248	US:OK	58			road
3140257	US:OK	50			road
3140272	US:OK	125			road
3140273	US:OK	85			road
3140274	US:OK	85A			road
3140334	US:OK	34			road
3147219	US:OK:Loop	56			road
3149627	US:OK	16			road
3177571				Blue Trail	mtb
3177573	lwn			Blue Trail	hiking
3177654	lcn			131st Street	bicycle
3189327	US:OK:Turnpike		west	Turner Turnpike (west)	road
