@id	network	ref	direction	name	route
30979	US:VT:Town	127			road
30980	US:VT	15			road
32889	US:VT	116			road
32890	US:VT	2A			road
33100	US:VT	128			road
33103	US:VT	104			road
33105	US:VT	100C			road
33106	US:VT	100			road
33108	US:VT	17			road
50766	US:VT	117			road
51021	US:VT	104A			road
51026	US:VT	36			road
51028	US:VT	38			road
51029	US:VT	105			road
51030	US:VT	78			road
51031	US:VT	289			road
51036	US:I	189			road
51041	US:VT	108			road
51044	US:VT	118			road
51045	US:VT	109			road
51047	US:VT	125			road
51049	US:VT	22A			road
51126	US:VT	23			road
51127	US:VT	74			road
52281	US:US	302			road
57451	US:VT	9			road
57455	US:VT	30			road
57456	US:VT	142			road
59820	US:VT	101			road
60030	US:VT	103			road
60033	US:VT	11			road
66004	US:VT	279			road
68484	US:VT	8			road
72012	lcn	ILT		Island Line Trail	bicycle
73116	US:VT	4A			road
356674	US:NY	346			road
356708	US:NY:Rensselaer	96		Rensselaer County Route 96	road
391736	rwn	LT		Long Trail	hiking
392991	nwn	AT	both	Appalachian Trail	hiking
416147	ncn	RV4		Route Verte 4	bicycle
558073	US:VT	149			road
1322982	US:NHS High Priority Corridors			NHS High Priority Corridor 50	road
1345262	US:MA	8			road
1346761	US:MA	112			road
1359387	Amtrak	Vermonter		Amtrak Vermonter: Washington => Saint Albans	train
1369619	US:NH	9			road
1369738	US:NH	10A			road
1375420	CA:QC:R	143		R 143	road
1376602	US:NH	11			road
1376938	US:NH	12			road
1401269				D&H Washington Branch	railway
1401272				Rutland Branch	railway
1732567	CA:QC:R	133		R 133 (Chemin des Patriotes)	road
1868797	US:US:Truck	2			road
1868799	US:US:Alternate	5			road
1876684	US:NY	185			road
1938593	US:US:Business	2			road
1938595	US:US:Business	4			road
2052647	US:VT	110			road
2109175	US:VT	66			road
2122599	US:VT	113			road
2122627	US:VT	244			road
2122666	US:VT:Town	132			road
2124884	US:VT	107			road
2124889	US:VT	12			road
2152145	US:VT	65			road
2227917	lcn			Upper Valley Loop Trail	bicycle
2295505	US:US	5			road
2295508	US:US	7			road
2307087	US:US	2		Theodore Roosevelt International Highway	road
2328456	rcn	CB		Champlain Bikeway / Route Champlain	bicycle
2525566					bus
2750828	rcn	XVT		Cross Vermont Trail	bicycle
2991960	nwn	AT	both	Appalachian Trail	hiking
3124606	US:NY:Washington	11		Washington County Route 11	road
3124608	US:NY:Washington	10		Washington County Route 10	road
3124647	US:NY:Washington	20		Washington County Route 20	road
3124649	US:NY:Washington	18A		Washington County Route 18A	road
3145747	US:NY:Washington	29		Washington County Route 29	road
3145749	US:NY:Washington	31		Washington County Route 31	road
3147861	US:NY:Washington	68		Washington County Route 68	road
3340478				Delaware & Hudson Rail Trail	bicycle
3392247				Ligne d'interconnexion à courant continu Radisson Qc - Sandy Pond Ma - 450 kV	power
3402818				Vista Trail (Blue)	hiking
3404361				Healdville Trail (Blue)	hiking
3572901	US:I	91			road
3572902	US:I	91			road
3572961	US:I	93	north		road
3572962	US:I	93			road
3572963	US:I	93			road
4234911	Amtrak	Ethan Allen Express	north	Amtrak Ethan Allen Express: New York => Burlington	train
4445771	Amtrak	Ethan Allen Express	south	Amtrak Ethan Allen Express: Burlington => New York	train
4559215	CA:QC:R	139		R 139	road
4559238	CA:QC:R	141		R 141	road
4565990	CA:QC:R	235		R 235	road
4568814	CA:QC:R	237		R 237	road
4568999	CA:QC:R	243		R 243	road
4569012	CA:QC:R	247		R 247	road
5319210	US:VT	3			road
5319211	US:VT	5A			road
5319212	US:VT	7A			road
5319465	US:VT	10			road
5319466	US:VT	14			road
5319467	US:VT:Town	8A			road
5319471	US:VT	10A			road
5319690	US:VT	16			road
5319691	US:VT	18			road
5319692	US:VT	25			road
5319693	US:VT	25B			road
5319694	US:VT	26			road
5320082	US:VT	31			road
5320083	US:VT:Town	35			road
5320084	US:VT	44			road
5320085	US:VT	44A			road
5320086	US:VT:Town	53			road
5320105	US:VT	58			road
5320106	US:VT	62			road
5320107	US:VT	63			road
5320108	US:VT	64			road
5320109	US:VT	67			road
5320110	US:VT	67A			road
5320114	US:VT	100A			road
5320115	US:VT	100B			road
5320116	US:VT	73			road
5320126	US:VT	25A			road
5320127	US:VT	2B			road
